Store code,Taxi Rank Name - English,District/Community - English,Taxi Rank Name - Arabic,District/Community - Arabic,Latitude,Longitude,Primary category
TXR_001,"RTA Taxi Rank - Al Mamzar, Century Mall",Al Mamzer,"مواقف مركبات الأجرة الممزر، سنشري مول",الممزر,25.289638,55.346959,Taxi stand
TXR_002,"RTA Taxi Rank Hor Al Anz East, Abu Hail Center",Hor Al Anz East,مواقف مركبات الأجرة هور العنز شرق مركز ابو هيل,هور العنز شرق,25.278079,55.346062,Taxi stand
TXR_003,"RTA Taxi Rank Al Nahda -1, Al Mulla Plaza","Al Nahda -1,","مواقف مركبات الأجرة النهدة -1 ، الملا بلازا","النهدة -1 ،",25.281348,55.357134,Taxi stand
TXR_004,"RTA Taxi Rank Al Qusais -1, Al Bustan Center",Al Qusais -1,"مواقف مركبات الأجرة القصيص -1 ، مركز البستان",القصيص -1,25.274128,55.367975,Taxi stand
TXR_005,"RTA Taxi Rank Al Tawar -1, Union Coop Society",Al Tawar -1,مواقف مركبات الأجرة الطوار -1 جمعية الاتحاد التعاونية,الطوار -1,25.2716,55.371133,Taxi stand
TXR_006,"RTA Taxi Rank Mirdif, West Zone",Mirdif,"مواقف مركبات الأجرة مردف ، ويست زون",مردف,25.231387,55.418266,Taxi stand
TXR_007,"RTA Taxi Rank Al Rashidiya, Al Rashidiya Clinic",Al Rashidiya,"مواقف مركبات الأجرة الراشدية ، عيادة الراشدية",الراشدية,25.223434,55.393314,Taxi stand
TXR_008,"RTA Taxi Rank Al Warqa -1, Al Mass Supermarket",Al Warqa'A -1,"مواقف مركبات الأجرة الورقاء -1 ، سوبر ماركت الماس",الورقاء -1,25.193895,55.406168,Taxi stand
TXR_009,"RTA Taxi Rank Al Garhoud, Emirates Co op Socity",Al Garhoud,"مواقف مركبات الأجرة القرهود ، جمعية الإمارات التعاونية",القرهود,25.243703,55.346579,Taxi stand
TXR_010,"RTA Taxi Rank Al Muraqqbat, Al Ghurair City A",Al Muraqqbat,"مواقف مركبات الأجرة المرقبات ، مدينة الغرير أ",المرقبات,25.266924,55.317057,Taxi stand
TXR_011,"RTA Taxi Rank Al Muraqqbat, Al Ghurair City B",Al Muraqqbat,"مواقف مركبات الأجرة المرقبات ، مدينة الغرير ب",المرقبات,25.268534,55.317864,Taxi stand
TXR_012,"RTA Taxi Rank Riggat Al Buteen, Hilton Dubai Creek",Riggat Al Buteen,"مواقف مركبات الأجرة رقة البطين ، هيلتون، خور دبي",رقة البطين,25.259693,55.318158,Taxi stand
TXR_013,"RTA Taxi Rank Naif, Al Sabkha Bus Station A",Naif,"مواقف مركبات الأجرة نايف ، محطة حافلات السبخة أ",نايف,25.270854,55.302616,Taxi stand
TXR_014,"RTA Taxi Rank Naif, Al Sabkha Bus Station B",Naif,"مواقف مركبات الأجرة نايف ، محطة حافلات السبخة ب",نايف,25.269326,55.303329,Taxi stand
TXR_015,"RTA Taxi Rank Umm Hurair - 2, Raffles Hotel",Umm Hurair - 2,"مواقف مركبات الأجرة أم هرير - 2 ، فندق رافلز",أم حرير - 2,25.227824,55.321251,Taxi stand
TXR_016,"RTA Taxi Rank Umm Hurair - 2, Holy Trinity Church",Umm Hurair - 2,"مواقف مركبات الأجرة أم هرير - 2 ، كنيسة",أم حرير - 2,25.237818,55.317215,Taxi stand
TXR_017,"RTA Taxi Rank Al Karama, Lu Lu Center",Al Karama,"مواقف مركبات الأجرة الكرامة ، مركز لو لو",الكرامة,25.243711,55.304608,Taxi stand
TXR_018,"RTA Taxi Rank Al Raffa, New Gold Center Building",Al Raffa,"مواقف مركبات الأجرة الرفاعة ، مبنى مركز الذهب الجديد",الرفاعة,25.251212,55.282122,Taxi stand
TXR_019,"RTA Taxi Rank Jumeirah - 1, The One Jumeirah Theatre",Jumeirah - 1,"مواقف مركبات الأجرة جميرا - 1 ، مركز ذا ون",جميرا - 1,25.233261,55.265126,Taxi stand
TXR_020,"RTA Taxi Rank Jumeirah - 3, Union Co-op Society",Jumeirah - 3,"مواقف مركبات الأجرة جميرا - 3 ، جمعية الاتحاد التعاونية",جميرا - 3,25.187211,55.238977,Taxi stand
TXR_021,"RTA Taxi Rank Al Safa - 1, Al Safa Center - Park N Shop",Al Safa - 1,مواقف مركبات الأجرة الصفا - 1 - مركز الصفا - بارك ان شوب,الصفا - 1,25.177385,55.234333,Taxi stand
TXR_022,"RTA Taxi Rank Umm Suqeim - 2, Choithram Supermarket",Umm Suqeim - 2,"مواقف مركبات الأجرة أم سقيم - 2 ، سوبر ماركت شويترام",أم سقيم - 2,25.147089,55.209721,Taxi stand
TXR_023,"RTA Taxi Rank Umm Suqeim - 2, Umm Suqeim Park",Umm Suqeim - 2,"مواقف مركبات الأجرة أم سقيم - 2 ، حديقة أم سقيم",أم سقيم - 2,25.148026,55.195099,Taxi stand
TXR_024,"RTA Taxi Rank Umm Suqeim - 3, Jumeirah Beach Hotel",Umm Suqeim - 3,"مواقف مركبات الأجرة أم سقيم - 3 ، فندق شاطئ جميرا",أم سقيم - 3,25.141396,55.191039,Taxi stand
TXR_025,"RTA Taxi Rank Umm Suqeim - 3, Mina Al Salam Hotel",Umm Suqeim - 3,مواقف مركبات الأجرة أم سقيم - 3 فندق ميناء السلام,أم سقيم - 3,25.133657,55.187815,Taxi stand
TXR_026,"RTA Taxi Rank Al Qouz Ind. 3, Bur Dubai",Al Qouz Ind. 3,"مواقف مركبات الأجرة القوز الصناعية 3 ، شرطة المرور، بر دبي",القوز الصناعية 3,25.124628,55.205817,Taxi stand
TXR_027,"RTA Taxi Rank Business Bay, Downtown Burj Dubai - Building 3",Business Buy,"مواقف مركبات الأجرة الخليج التجاري، وسط مدينة برج دبي - مبنى 3",الخليج التجاري,25.189962,55.280704,Taxi stand
TXR_028,"RTA Taxi Rank Dubai Al Ain Road, Dubai Outlet Mall",Dubai Al Ain Road,"مواقف مركبات الأجرة طريق دبي العين ، دبي أوتلت مول",طريق دبي العين,25.073034,55.400682,Taxi stand
TXR_029,"RTA Taxi Rank Emirates Hills - 3, Town Center Spinneys Mall",Emirates Hills - 3,"مواقف مركبات الأجرة تلال الإمارات - 3 ، تاون سنتر سبينس مول",تلال الإمارات - 3,25.053793,55.170925,Taxi stand
TXR_030,RTA Taxi Rank Emirates Hills Second (Emaar Buildings) Emaar Business Park Buildings,Emirates Hills Second ,مواقف مركبات الأجرة تلال الإمارات الثانية (مباني إعمار) مباني إعمار بزنس بارك,تلال الإمارات الثانية,25.095254,55.166918,Taxi stand
TXR_031,RTA Taxi Rank Arabian Ranches Community Center,Arabian Ranches,"مواقف مركبات الأجرة المرابع ، مركز المرابع العربية",المرابع العربية,25.05711,55.271085,Taxi stand
TXR_032,RTA Taxi Rank Al Barsha Mall ,Al Barsha 2,مواقف مركبات الأجرة البرشاء مول,البرشاء 2,25.098519,55.205362,Taxi stand
